id,title,year,director
tt0252866,American Pie 2,2001,J.B. Rogers
tt0252902,Thank Heaven,2001,John Asher
tt0252918,Baby of the Family,2002,Jonee Ansa
tt0253028,Deadly Little Secrets,2002,Fiona Mackenzie
tt0253197,Syndare i sommarsol,2001,Daniel Alfredson
tt0253200,Last Orders,2001,Fred Schepisi
tt0253201,Last Party 2000,2001,Donovan Leitch Jr.
tt0253399,One Leg Kicking,2001,Khoo Koh
tt0253474,The Pianist,2002,Roman Polanski
tt0253487,Pledge of Innocence,2001,Benjamin Louis
tt0253688,Shoot or Be Shot,2002,J. Randall Argue
tt0253704,Silence of Fear,2002,Nasser Bakhti
tt0253798,Out Cold,2001,Emmett Malloy
tt0253821,Everything Happens to Me,2001,Miquel García Borda
tt0253827,The Martins,2001,Tony Grounds
tt0253840,The Triumph of Love,2001,Clare Peploe
tt0253867,The Sweetest Thing,2002,Roger Kumble
tt0253895,Vienna,2002,Peter Gersina
tt0253933,Be Somebody,2002,Bernard Madrid
tt0254099,The Anniversary Party,2001,Alan Cumming
tt0254334,The Fourth Angel,2001,John Irvin
tt0254385,Home Sweet Home,2001,Heidi Draper
tt0254422,The Inside Story,2002,Robert Sutherland
tt0254440,New Times at Crossroad Street,2001,Ivars Seleckis
tt0254448,Making Metamorphosis,2001,Christopher E. Brown
tt0254455,Sex and Lucia,2001,Julio Medem
tt0254481,Koi... Mil Gaya,2003,Rakesh Roshan
tt0254521,Liberté-Oléron,2001,Bruno Podalydès
tt0254617,Olive Juice,2001,Ken Hastings
tt0254622,They Call This... Spring,2001,Hervé Le Roux
tt0254626,One Eyed King,2001,Bobby Moresco
tt0254686,The Piano Teacher,2001,Michael Haneke
tt0254703,The Point Men,2001,John Glen
tt0254740,Roots,2001,Beata Pozniak
tt0254775,The Red Siren,2002,Olivier Megaton
tt0254784,Indian Cowboy,2004,Nikhil Kamkolkar
tt0254789,Split Decision,2001,Marcy Garriott
tt0254791,Le stade de Wimbledon,2001,Mathieu Amalric
tt0255055,China: The Panda Adventure,2001,Robert M. Young
tt0255432,Now & Forever,2002,Bob Clark
tt0255443,Deadly Engagement,2002,Lloyd A. Simandl
tt0255477,Pinocchio,2002,Roberto Benigni
tt0255623,Subterano,2003,Esben Storm
tt0255637,Terrorama!,2001,Edwin Brienen
tt0255653,Tortilla Soup,2001,Maria Ripoll
tt0255655,The Trade,2003,Thomas Halikias
tt0255958,Down House,2001,Roman Kachanov
tt0256033,Forever Yours,2004,Clifton Ko
tt0256259,Pauline and Paulette,2001,Lieven Debrauwer
tt0256276,Possession,2002,Neil LaBute
tt0256341,Road to Redemption,2001,Robert Vernon
tt0256359,The Safety of Objects,2001,Rose Troche
tt0256374,Pretty When You Cry,2001,Jack N. Green
tt0256380,Shallow Hal,2001,Peter Farrelly
tt0256400,Sometimes a Hero,2003,Jalal Merhi
tt0256408,Startup.com,2001,Jehane Noujaim
tt0256415,Sweet Home Alabama,2002,Andy Tennant
tt0256766,Gallito Ciego,2001,Santiago Carlos Oves
tt0257206,The Suitcase,2002,Hans Magnus Kvåle
tt0257215,A Song for Martin,2001,Bille August
tt0257245,Une jeune fille à la fenêtre,2001,Francis Leclerc
tt0257282,Bolivar Is Me,2002,Jorge Alí Triana
tt0257290,Glass Tiger,2001,Iván Kapitány
tt0257355,Birdseye,2002,Stephen Beckner
tt0257360,About Schmidt,2002,Alexander Payne
tt0257408,Judgment,2001,André van Heerden
tt0257434,Being Light,2001,Jean-Marc Barr
tt0257447,Black Diamond,2001,Gunnar Walther
tt0257510,Crocodile 2: Death Swamp,2002,Gary Jones
tt0257516,Cursed,2005,Wes Craven
tt0257568,Kangaroo Jack,2003,David McNally
tt0257606,The End of the Road,2001,Brent Meeske
tt0257727,Black Widow,2001,Paul Harather
tt0257750,Heart of Stone,2001,Dale Trevillion
tt0257756,High Crimes,2002,Carl Franklin
tt0258068,The Quiet American,2002,Phillip Noyce
tt0258100,Run Ronnie Run,2002,Troy Miller
tt0258127,Liars Club,2001,Bruce Cacho-Negrete
tt0258153,S1m0ne,2002,Andrew Niccol
tt0258159,Siniestro,2001,Ernesto McCausland
tt0258760,Lammbock,2001,Christian Zübert
tt0258816,The Reckoning,2002,Paul McGuigan
tt0258827,Girls on Top,2001,Dennis Gansel
tt0258834,Nebraska Supersonic,2001,Jeremy Lerman
tt0258841,Nine Tenths,2002,Jon Gritton
tt0259386,Knight Club,2001,Russell Gannon
tt0259393,Lantana,2001,Ray Lawrence
tt0259417,Malunde,2001,Stefanie Sycholt
tt0259424,Our Tropical Island,2001,Marcello Cesena
tt0259440,Beautiful Memories,2001,Zabou Breitman
tt0259446,My Big Fat Greek Wedding,2002,Joel Zwick
tt0259484,Paid in Full,2002,Charles Stone III
tt0259497,Pendulum,2001,James D. Deck
tt0259538,Returning Mickey Stern,2002,Michael Prywes
tt0259561,If I Were You,2001,Giulio Manfredonia
tt0259567,Perfect Opposites,2004,Matt Cooper
tt0260036,Felix and Lola,2001,Patrice Leconte
tt0260042,False Prophets,2006,Robert Kevin Townsend
tt0260522,In Desert and Wilderness,2001,Gavin Hood
tt0260695,Hometown Legend,2002,James Anderson
tt0261289,Serving Sara,2002,Reginald Hudlin
tt0261311,Sound of the Sea,2001,Bigas Luna
tt0261379,An Island of Their Own,2001,Miklós Szurdi
tt0261842,Mullet,2001,David Caesar
tt0261983,Session 9,2001,Brad Anderson
tt0261992,Winter Break,2003,Marni Banack
tt0262156,The Invisible Collection,2003,Gianfranco Isernia
tt0262174,Reconciled,2001,Rosalia Polizzi
tt0262301,La boîte,2001,Claude Zidi
tt0262345,Condemned to Freedom,2001,Emiliano Ribeiro
tt0263009,2000 Nordestes,2001,David França Mendes
tt0263017,Like Cat and Mouse,2002,Rodrigo Triana
tt0263053,Alone,2002,Phil Claydon
